Specific Aim 1: Compare spontaneuos withdrawal from WIN in male and female rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimenter:,,Abigail Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug administration:,,D1- 0.2 mg/kg WIN or DMSO + Saline PM and AM,,,,,Red label denotes brain collected and stored in the -80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D2- 0.4 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D3- 0.6 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D4- 0.8 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"D5- 0.8 mg/kg WIN or DMSO + Saline PM withdrawal assessed at 10, 24, 48, 72, 96 hr after final infusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLE MALES,,,,,,,,,,,,,Physiological Measures ,,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight:,D1,,D2,,D3,,D4,,D5,,Body Temp,,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,Body Temp,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,,,,,,,,,,,,,
ID:,Start date,,PM,AM,PM,AM,PM,AM,PM,AM,PM,,after final WIN,before session,after session,before session,After W/D,Fecal boli,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total Beam breaks,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total Beam breaks,,before session,after session,before session,After W/D,fecal,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,,,,,,,,,,,,,
ALB70,8/23/21,,405,411,423,423,412,414,413,415,416,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36.9,417,415,,1,6,1,1,0,0,0,0,1,0,0,1,0,0,10,,20.6,280,1483.1,28,57.7,302.9,3522,0,0,1476.6,3802,,35.8,37,411,408,,5.5,0.5,0,0.5,6,1.5,0,0,0,0,0,2,0,1,14,,17.5,244,937,29,53.7,231.6,2627,0,0,1551,,,36,37.4,417,413,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,,26.3,376,1401.3,40,47.3,203.8,2585,0,0,1569.9,,,36,37.4,421,416,,1,3,2,0,0,0,0,0,0,0,0,0,0,0,6,,9.7,115,648.2,13,48.8,171.9,1947,0,0,1618.4,,,36,37,422,419,,0,3,3,0,0,0,0,0,0,0,0,0,0,1,6,,28.4,380,1363.7,42,43.1,222,2621,0,0,1549.6,,,,,,,,,,,,,,,
ALB72,8/23/21,,416,415,416,410,415,422,422,419,418,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,37.4,426,424,,10,5,0,1,4,0,1,0,0,0,0,1,0,0,21,,8.25,135,668.5,13,60.1,255.8,3056,0,0,1536.1,3191,,36.3,37.3,424,423,,7,0,0,1,12.5,0.5,0,0,0,0,0,2,0,0,21,,6.9,111,492.8,13,47.9,182.7,2109,0,0,1610.4,,,36.4,37.1,424,421,,6,1,1,1,14,0,0,0,0,0,0,3,0,0,23,,8.2,139,679,20,74.2,219.8,2646,0,0,1572.1,,,36.5,36.8,428,426,,3,0,0,1,7,0,0,0,0,0,0,3,0,0,11,,8.05,100,550.1,14,40.4,191,2066,0,0,1601,,,36.4,37.9,436,433,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,,3.8,62,377,6,80.6,200.8,2244,0,0,1595.4,,,,,,,,,,,,,,,
ALB73,8/26/21,,388,392,384,395,383,395,384,394,388,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,37.4,393,391,,2,4,0,0,1,0,0,0,0,0,0,1,0,1,7,,33.5,698,2005.3,59,79.6,270.1,3598,0,0,1496.4,4296,,37.1,36.8,391,387,,3,0,0,0,10.5,0,0,0.5,0,1,0,2,0,1,14,,24.45,309,1071.6,35,43,176.8,2123,0,0,1598.8,,,,,393,392,,11,0,0,0,14,1,2,0,0,0,0,3,0,1,28,,20.6,310,1061.1,41,68.6,216.3,2708,0,0,1563.1,,,36.4,36.8,396,395,,1,0,0,0,14,0,0,0,0,0,0,3,0,1,15,,26.3,450,1286.2,47,59.5,223.7,2980,0,0,1550.05,,,36.3,36.9,392,392,,1,2,0,0,2,1,0,0,0,0,2,2,0,1,6,,4.4,84,333.1,9,76.5,185.6,2124,0,0,1610.1,,,,,,,,,,,,,,,
ALB74,8/26/21,,385,387,386,394,388,391,387,393,388,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37.5,393,391,,2,4,0,0,3,0,0,0,0,0,0,1,0,0,9,,13.4,161,937.4,20,39.7,182.9,1987,0,0,1603.8,2148,,36,37.8,392,389,,2,1.5,1,1,0.5,4.5,0,0,0,0,0,3,0,1,10.5,,2.2,40,291.1,1,136.8,94.7,1038,0,0,1703.1,,,,,393,390,,0,4,0,0,1,2,0,1,0,0,0,2,0,0,8,,2.1,35,210.4,1,98.7,98.7,1045,0,0,1699.3,,,36.9,37.6,393,391,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,3.75,33,251.4,3,23.3,98.8,1060,0,0,1697.5,,,36.4,37.4,389,384,,1,0,1,0,1,1,0,1,0,0,0,0,0,0,5,,4.1,43,300.7,5,36.2,92,994,0,0,1703.8,,,,,,,,,,,,,,,
ALB109,12/29/21,,394,399,390,394,389,397,387,397,393,,37.2,36.7,37.2,387,384,,0,0,0,2,0,1,0,0,0,0,0,1,0,1,3,,4.45,55,403.4,4,65.1,171,1856,0,0,1624.6,,,36.8,37.2,395,390,,2,0.5,0,0,0,0,0,0,0,0,1,0,0,1,2.5,,14.3,206,957.1,17,52.7,235.1,2595,0,0,1550.7,,,36.8,37.5,390,384,,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,2,1,,24.1,355,1325.2,43,72.6,257.9,2951,0,0,1518.1,,,37.1,37.6,395,393,,1,0,0,0,1.5,0,0,0,0,0,1,1,0,2,2.5,,16,291,859.7,25,64.9,254.1,2934,0,0,1530,,,36.2,37.2,394,392,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,14.7,323,1006.4,27,87.8,224.3,2667,0,0,1561.1,,,36.7,37.6,394,393,,1.5,0,0,2,0,0,0,1,1,1.5,1,0.5,0,2,5.5,,15.9,317,942.6,25,63.6,248.7,2819,0,0,1535.5,,,,,,,,,,,,,,,
ALB110,12/29/21,,453,464,452,464,453,464,453,464,450,,36.9,36.5,36.8,448,446,,7,2,0,0,4,1,1,0,0,0,0,1,0,1,15,,22.2,377,1323.8,37,62.5,257.4,3104,0,0,1520.5,total time,,36.8,37.5,464,459,,5.5,3.5,0,0,12.5,0,1.5,0,0,1,2,3,0,2,23,,21.2,347,1228.7,34,51.6,277.6,3124,0,0,1501.3,total time,,36.6,37,448,449,,3,0.5,0,0,5,0,0,0,0,1,4,1,0,2,8.5,,9.4,146,556.2,11,41.5,159.3,1824,0,0,1631.4,,,37,36.9,457,456,,3,2,1.5,0,11,0,0,0,0,2,4,1,1,3,17.5,,10.6,154,579.4,17,47.7,213.7,2371,0,0,1575.8,,,36.8,37,457,459,,7,0,0,2,10,1,0,0,0,3,5,1,1,3,20,,17.4,247,776.2,24,55.4,159.7,1814,0,0,1622.9,,,36.9,37.4,465,463,,6.5,0,2,0,17.5,0.5,0,0,0,1.5,4,0.5,0,2.5,26.5,,12.3,144,497.4,18,42.1,195.1,2098,0,0,1592.7,,,,,,,,,,,,,,,
ALB123,2/9/22,,333,342,338,340,332,341,334,341,337,,36.7,36.9,37.4,340,336,,1,5,0,0,1,0,1,0,0,0,0,1,3,2,8,,29.5,684,1919.42,50,80.72,213,2607,0,0,1557.6,0,,36.3,36.9,345,342,,2,4,0,1,1,1,0,0,0,0,0,3,3,2,9,,16.7,387,1304.5,34,87,234.2,2771,0,0,1549.2,323.5,,36.6,37,339,335,,2,7,0,1,0,2,1,1,0,0,0,1,3,3,14,,30.9,677,1992.3,59,79.8,261.5,3205,0,0,1507.7,,,36.3,37.1,339,337,,0,7,0,2,2,0,2,0,1,0,0,2,2,3,14,,34,746,2121.6,61,78.1,208.4,2640,0,0,1557.7,,,36.6,37.2,343,340,,1,2,0,0,1.5,1,0.5,0,1.5,0,1,2,1,4,7.5,,35,673,1882.9,50,65.6,186.4,2486,0,0,1578.6,,,35.8,36.2,348,345,,1,7,0,0,2,3,1,0,0,0,0,0,1,2,14,,24.5,549,1686.1,34,66.1,195.4,2628,0,0,1580.2,,,,,,,,,,,,,,,
ALB124,2/9/22,,353,358,360,359,353,361,358,378,367,,36.8,37,37.1,372,370,,0,0,0,3,0,1,0,2,0,0,0,1,0,2,6,,8.5,163,717.1,16,105.4,188.2,2157,0,0,1603.4,0,,36.5,36.4,370,368,,2,1,1,3,6,2,1,1,0,2,2,1,0,0,17,,23,455,1297.4,35,61.9,189.5,2311,0,0,1587.6,264.05,,36.7,37,364,362,,3,1,2,0,6,1,1,1,0,0,0,0,0,1,15,,16.3,268,837.7,21,58.8,220.8,2537,0,0,1563,,,36.4,37.2,369,364,,3,0,3,0,2,6,1,0,0,2,2,2,0,1,15,,14.2,287,766,24,64.4,139.1,1646,0,0,1646.8,,,36.3,37.2,360,362,,5.5,0,1,0.5,9,1.5,0,1,0.5,0,1,2,0,1,19,,12.25,226,634.3,18,49.7,208.5,2391,0,0,1579.3,,,36.7,37.2,366,362,,2,0,0,0,2,2,0,1,0,1,1,1,2,3,7,,21.5,417,1113.1,30,62.8,193.3,2201,0,0,1585.3,,,,,,,,,,,,,,,
ALB134,3/25/22,,331,352,350,355,347,353,349,360,346,,36.5,36.4,36.7,343,344,,2,0,1,1,3,2,2,0,0,0,0,3,1,1,11,,11.3,144,1169,9,63.7,258.5,2903,0,0,1530.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB135,3/25/22,,371,380,377,381,372,375,375,382,376,,37.2,36.7,37.7,374,371,,4,4,0,0,0,3,3,1,0,0,0,1,0,2,15,,17.7,231,1100,20,41.9,296.4,3251,0,0,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB139,4/24/22,,350,337,345,342,337,349,343,350,350,,37.1,37.1,37.5,354,352,3,1,6,1,0,0,0,8,0,0,0,0,0,0,1,16,,35.2,912,2698.9,55,89.5,254.3,3403,0,0,1510.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB151,5/29/22,,370,368,366,367,356,371,364,369,366,,36,36.5,36.7,365,363,5,11,0,0,0,0,0,0,0,0,0,1,2,1,2,11,,36.45,610,2157.8,58,66.3,277.9,3516,0,0,1485.7,,,36.1,36.6,373,367,6,3,3,0,0,0,0,0,0,0,0,0,0,0,2,6,,13.35,225,798,20,54.1,161.5,1889,0,0,1625.2,,,36,37.1,369,366,6,6,4,1,0,1,0,0,0,0,0,1,0,2,1,12,,15.1,289,922.8,28,68.2,173.7,2191,0,0,1611.3,,,35.4,36.9,369,366,3,3,2,1,0,5,0,0,0,0,0,0,1,0,3,11,,14,246,780.5,25,67.3,221.2,2777,0,0,1565,,,35.7,36.9,372,373,1,5,2,1,0,2,0,0,0,0,0,0,1,0,0,10,,19.1,392,1345.7,36,88,248,3052,3.95,1,1529.1,,,35.7,36.9,377,374,1,1,0,0,0,2,0,0,0,0,0,1,2,0,0,3,,19.1,387,1527.2,43,90,284.2,3514,0,0,1496.7,,,,,,,,,,,,,,,
AVERAGE,,,379.0833333,383.75,382.25,385.3333333,378.0833333,386.0833333,380.75,388.5,382.9166667,,36.725,36.775,37.125,386.75,384,,2,1.75,0,1.25,1.25,0.75,0.5,0.5,0,0,0,1,0.75,1.5,8,,,,,,,,,,,,0,,36.475,37.15,400.375,397.5,,3.3125,3.5,0.25,0.75,3.4375,0.375,0.4375,0.125,0.125,0.375,0.625,1.375,0.375,0.75,12.3125,,,,,,,,,,,,303.6,,36.4875,37.175,394.875,392.125,,3.1875,1.3125,0.375,0.5,5.125,1.1875,0.25,0.3125,0,0.25,0.5,1.375,0.375,1.375,12.25,,,,,,,,,,,,,,36.53333333,37.21666667,398.375,395.75,,3.125,2,0.9375,0.375,5.6875,1.125,0.625,0.125,0.125,0.5,0.875,1.75,0.375,1.25,14.125,,,,,,,,,,,,,,36.4625,37.15,399,397.625,,2.3125,0.625,0.375,0.4375,5.1875,0.4375,0.0625,0.125,0.25,0.375,0.875,1.75,0.25,1.5,9.8125,,,,,,,,,,,,,,36.4,37.2,401.5,398.875,,1.625,1.625,0.875,0.25,3.0625,0.9375,0.125,0.375,0.125,0.5,1,0.5,0.375,1.4375,9,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,37.81666299,35.75844889,34.92277194,36.15783302,36.09308952,36.46931739,35.74228744,33.89542742,34.16121908,,0.2828427125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,3.366501646,2.362907813,0,1.5,1.892969449,0.5,0.5773502692,1,0,0,0,0,1.5,0.5773502692,5.099019514,,,,,,,,,,,,0,,0.2121320344,0.3535533906,6.363961031,6.363961031,,3.011140031,1.870828693,0.4629100499,1.035098339,4.221014604,0.7440238091,0.6232117274,0.3535533906,0.3535533906,0.7440238091,0.9161253813,1.060660172,1.060660172,0.8864052604,7.205838407,,,,,,,,,,,,196.3,,0.3535533906,0.2121320344,9.192388155,10.60660172,,2.1702123,2.35944152,0.7440238091,0.4629100499,4.688511796,1.533844377,0.4629100499,0.4580626907,0,0.4629100499,1.414213562,1.060660172,1.060660172,0.9161253813,5.818689101,,,,,,,,,,,,,,0.2828427125,0.2121320344,4.949747468,5.656854249,,3.758324095,2.449489743,1.147590644,0.7440238091,6.158255203,2.100170061,0.9161253813,0.3535533906,0.3535533906,0.9258200998,1.457737974,1.035098339,0.7440238091,1.281739889,8.778016372,,,,,,,,,,,,,,0.3535533906,0.4242640687,4.949747468,7.071067812,,2.631369823,1.187734939,0.7440238091,0.7288689869,5.515805213,0.6232117274,0.1767766953,0.3535533906,0.5345224838,1.060660172,1.726888201,1.281739889,0.4629100499,1.414213562,7.828234156,,,,,,,,,,,,,,0.2828427125,0.6363961031,9.899494937,9.899494937,,2.083095224,2.445841953,1.125991626,0.7071067812,5.906639726,1.083562247,0.3535533906,0.5175491695,0.3535533906,0.7071067812,1.414213562,0.7071067812,0.7440238091,1.116035714,7.842193571,,,,,,,,,,,,,,,,,,,,,,,,,,
WIN MALES,,,,,,,,,,,,,Physiological Measures ,,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight:,D1,,D2,,D3,,D4,,D5,,Body Temp,,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,Body temp,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,,,,,,,,,,,,,
ID:,Start date,,PM,AM,PM,AM,PM,AM,PM,AM,PM,,after final WIN,before session,after session,before session,After W/D,fecal,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,total beam breaks,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,total beam breaks,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,,,,,,,,,,,,,
ALB69,8/23/21,,416,423,426,424,425,423,421,423,425,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,37.5,438,432,,1,14,1,0,1,0,0,1,0,0,0,0,1,0,18,,22.7,336,1479.4,36,59,310.4,3565,0.55,1,1466.35,3901,,36.1,37,429,426,,6.5,3,0,0,5.5,0,0,0,0,0.5,1,1,0,0.5,15,,23.65,325,1173.2,35,50.7,224.8,2628,0,0,1551.6,,,36.7,36.9,439,438,,7,10,1,0,12,0,0,0,0,0,0,3,1,5,30,,15.45,203,1027.5,25,53.6,241.7,2766,0,0,1542.9,,,36.4,37,437,436,,5,1,0,0,15,0,0,0,0,1,0,2,0,2,21,,32.9,582,1736.4,62,68.6,234.3,2791,0,0,1532.9,,,36.4,37.7,442,441,,2,2,0,0,23,1,0,1,0,0,0,2,0,2,29,,28.75,409,1616.73,51,49.3,245.1,2782,0,0,1526.2,,,,,,,,,,,,,,,
ALB71,8/23/21,,403,412,413,411,413,415,406,410,411,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,37.5,415,410,,2,13,0,3,0,0,0,0,0,0,0,3,0,4,18,,3.9,61,468.2,3,100.6,189.5,2142,0,0,1606.6,2203,,36.1,37.7,413,412,,2,5,2,3,0,2,0,0,1,0,1,4,0.5,0.5,15,,7.85,82,598.3,8,27.3,205.4,2296,0,0,1586.8,,,36.7,37.6,418,415,,8,11,1,0,4,3,0,0,0,0,0,4,1,2,27,,6.6,82,501.1,8,44,182.6,2007,0,0,1610.9,,,36.5,37.5,419,421,,4,5,0,0,8,3,0,0,0,0,0,3,0,0,20,,9.85,132,677.3,16,42,200.6,2283,0,0,1589.6,,,36.1,37.4,422,421,,3,0,0,0,8,1,0,0,0,0,2,3,0,1,12,,8.95,143,626.27,19,56.1,240.3,2678,0,0,1550.8,,,,,,,,,,,,,,,
